district,doy,year,tminc,tmeanc,tmaxc,pr,rmean,vpd
Buffalo,91.0,2018.0,-9.428461686455945,-2.4861051282903666,4.456251429875211,0.0,44.7301556614381,0.3546402710322559
Tripp,91.0,2018.0,-6.942370576164987,-1.1359558227012698,4.6704589307623445,0.0,44.39308464557699,0.36208071856739643
Brule,91.0,2018.0,-8.439260370761225,-1.6719134621189327,5.0954334465233275,0.0,42.763530429602454,0.38114245253969325
Gregory,91.0,2018.0,-6.762599136902788,-1.130040653531319,4.502517829840123,0.0,41.96087574577673,0.3705952621525784
Charles Mix,91.0,2018.0,-6.853377278583308,-0.9657868188681591,4.92180364084694,4.027290735086009E-4,39.12306294137006,0.3967803176074195
Douglas,91.0,2018.0,-7.496853730607683,-1.3296921511871889,4.837469428233307,0.04084074957783377,39.236654026370005,0.3930503023336697
Bon Homme,91.0,2018.0,-6.642552833233875,-1.149982803682532,4.3425872258688125,0.0,36.60695721018659,0.3981513469984997
Hutchinson,91.0,2018.0,-7.043553804038778,-1.4861048747480892,4.071344054542579,0.1311685990576285,35.75339455702769,0.395097562532576
Davison,91.0,2018.0,-8.118607904904305,-2.0476503010969305,4.0233073027104425,0.0,37.96479775107045,0.3787404854229572
Hanson,91.0,2018.0,-7.982366439525612,-1.9714153846776743,4.039535670170265,0.0,36.60952845224196,0.38638478464009596
Miner,91.0,2018.0,-7.949874798792454,-2.114083795163575,3.7217072084653022,0.0,34.961864950583006,0.3868156000020519
Sanborn,91.0,2018.0,-9.292564130787495,-2.860818242135589,3.570927646516305,0.0,40.27750607009799,0.3552433456386038
Jerauld,91.0,2018.0,-9.529281514295626,-3.035121383369425,3.4590387475567748,0.0,42.901752312149846,0.3394883064717289
Aurora,91.0,2018.0,-8.718477801948561,-2.2134729618756492,4.291531878197244,0.0,41.59696578960745,0.3658575755101455
Beadle,91.0,2018.0,-9.445585211763845,-3.3395468606530616,2.7664914904576605,0.028129781847616206,42.09891965904741,0.32770483467931216
Kingsbury,91.0,2018.0,-9.32226036007025,-3.6871218212354084,1.948016717599405,0.039086699348893444,39.242428001826596,0.32298250688889946
Brookings,91.0,2018.0,-9.970592322157026,-4.8112130371919335,0.34816624777312105,0.0,48.43994305269038,0.25230579042629453
Lake,91.0,2018.0,-9.039833342387125,-3.8484093641636647,1.3430146140597965,0.0,37.26596446493105,0.319917954870242
McCook,91.0,2018.0,-7.932866698329863,-2.520279845913614,2.892307006502637,0.0,35.56281999835689,0.36472701184107975
Minnehaha,91.0,2018.0,-8.591551060175673,-3.5831758933047575,1.4251992735661294,0.0,36.740250914516416,0.3258591257817127
Moody,91.0,2018.0,-9.714487309160424,-4.545290120716259,0.6239070677279,0.0,42.302290725079644,0.28344727924378055
Union,91.0,2018.0,-7.093980954198246,-2.1356686151418254,2.822643723914593,0.0,33.01689497953314,0.38074910392261263
Clay,91.0,2018.0,-6.9258203711980775,-1.8194539886229804,3.286912393952117,0.0,34.26444265817466,0.38464702564392245
Lincoln,91.0,2018.0,-7.802700355432434,-2.766679801806896,2.269340751818642,0.0,34.58968100897768,0.35838299285093117
Turner,91.0,2018.0,-7.463513233648365,-2.3327450210965717,2.7980231914552207,0.0,34.97057596576276,0.36826783384045264
Yankton,91.0,2018.0,-6.890805585422742,-1.8650301669894997,3.1607452514437435,0.0,34.771017154301106,0.37904404406816966
Grant,92.0,2018.0,-8.238096588849272,-4.691211428472233,-1.1443262680952129,6.28833799495537,85.96371069445887,0.04045280201981092
Roberts,92.0,2018.0,-9.920258322352595,-5.63866025010255,-1.3570621778525116,6.471427466630917,86.04986349737345,0.01979317104298391
Marshall,92.0,2018.0,-11.986861048562776,-6.92828501605759,-1.8697089835524066,6.915595461436615,85.49024142508101,0.009131420310470236
Day,92.0,2018.0,-11.1955431122435,-6.189684582232217,-1.183826052220957,7.449785737637569,85.24131110600402,0.012246367233993192
Deuel,92.0,2018.0,-6.352657461805896,-3.665468351726026,-0.9782792416461565,6.250402283751851,81.89910913147452,0.08185201925366488
Codington,92.0,2018.0,-9.114341168532437,-5.229259397269884,-1.344177626007331,5.574431180810953,85.47031086017627,0.03499091729538197
Hamlin,92.0,2018.0,-7.601640397560414,-4.0127225309333205,-0.4238046643062267,3.763878872714642,82.28118828868527,0.08036045839521258
Clark,92.0,2018.0,-9.625039208657093,-4.900483849041284,-0.17592848942551792,4.329600248299045,81.46217958670255,0.06603229060900714
Brown,92.0,2018.0,-12.142408152032733,-6.7315748712778944,-1.3207415905230209,7.450322144253917,83.35927324084011,0.026909673459782978
McPherson,92.0,2018.0,-13.661304672227207,-8.706006777476704,-3.7507088827261574,7.7473079476415245,86.59584499218644,0.006750951460214204
Edmunds,92.0,2018.0,-12.851257782893342,-7.400186393105953,-1.9491150033185716,6.969204080583455,85.31103805590377,0.01177938125809282
Spink,92.0,2018.0,-10.660700726982837,-4.915449118756952,0.8298024894689536,3.6730175369529108,79.09826501841391,0.07914396015211665
Faulk,92.0,2018.0,-11.818507257047413,-5.963428269314591,-0.10834928158177351,4.007590369272471,81.93612457118026,0.03821381938505217
Hand,92.0,2018.0,-9.87625336330465,-3.1898341144362705,3.496585134432033,4.365885722327383,75.04955443822799,0.13972175332735245
Campbell,92.0,2018.0,-13.03317414960085,-8.29905197008669,-3.56492979057253,5.838099061233404,87.65442531689202,0.0023186188224538036
Walworth,92.0,2018.0,-12.714838673843293,-7.8160651027169115,-2.917291531590552,5.442614063797876,89.37434865026508,5.050642695898759E-4
Potter,92.0,2018.0,-12.019642621017425,-6.381906095417858,-0.7441695698182974,4.862411010375341,84.60596234548287,0.012848010449223858
Hyde,92.0,2018.0,-10.735669050553986,-3.16341374679516,4.408841556963614,4.567967982359402,73.07137274458512,0.16217940539078657
Sully,92.0,2018.0,-10.866612074659471,-4.091539851520387,2.6835323716186377,4.179279753952617,76.84609153991975,0.10088587223240317
Dewey,92.0,2018.0,-11.512938900559135,-6.327443379919175,-1.1419478592790886,4.42150067606205,85.62914940978219,0.0111871943947605
Hughes,92.0,2018.0,-9.990427311948553,-2.137378274913108,5.715670762122303,4.502240280364586,71.00955981876335,0.20168341488109592
Stanley,92.0,2018.0,-9.995742858566338,-2.4530071698830733,5.089728518800092,5.146777290889609,73.06297869522174,0.1679652466395724
